Month	Rainfall	DensityR1	AbundR1	DensityR2	AbundR2
Apr-02	121.2	1.36	34	0.42	30
May-02	371.7	1.32	33	0.08	8
Jun-02	126.4	0.12	3	0.08	6
Jul-02	48.6	1.44	42	0.28	28
Aug-02	82.6	0.5	4	0	0
Sep-02	189.2	1.44	30	0.02	0
Oct-02	207.1	0.8	20	0.02	0
Nov-02	303.8	0.92	22	0.1	6
Dec-02	485.2	0.82	20	0.1	10
Jan-03	397.5	1.76	43	0.06	6
Feb-03	34.6	0.86	18	0	0
Mar-03	310.9	3.32	81	0.28	28
Apr-03	121.2	1.86	35	0.24	20
May-03	84.8	0.84	21	0.14	6
Jun-03	41.3	0.48	11	0.4	38
Jul-03	42.1	0.8	17	0.14	14
Aug-03	166.9	1.58	25	0.2	12
Sep-03	143.9	1.54	27	0.34	8
Oct-03	379.5	1.72	42	0.22	12
Nov-03	419.5	1.38	32	0.24	22
Dec-03	210.2	1.36	29	0.16	12
Jan-04	319.7	2.5	59	0	0
Feb-04	386.7	1.72	42	0	0
Mar-04	211.2	1.46	33	0.04	4
Apr-04	404.2	1.18	28	0.06	2
May-04	181.2	2.68	65	0	0
Jun-04	84	1.12	28	0.02	0
Jul-04	0.8	1.84	45	0.18	18
Aug-04	0	1.22	30	0.02	2
Sep-04	59.3	2.4	55	0	0
Oct-04	147	3.3	78	0.02	0
Nov-04	294	0.62	14	0	0
Dec-04	238.3	2.98	70	0	0
Jan-05	371.5	1.94	44	0	0
Feb-05	175.3	2.14	52	0	0
Mar-05	261	1.68	40	0.04	4
