	intervalo	prof.min	prof.max	prof.media	prof.dp	temp.min	temp.max	temp.media	temp.dp
1	0 - 2	1.066666667	54	31.18424242	16.67645315	20	24.4	22.18571429	1.467910728
2	10-Dec	0	51.63	12.3375	14.53422911	19.8	24.4	21.67777778	1.623097177
3	Dec-14	0	33.2	17.56863636	11.98415164	19	24.4	21.72222222	1.750555467
4	14 - 16	0	31.6	12.83791667	9.114079881	19	24.4	21.84	1.894553597
5	16 - 18	0	23.25	12.99818182	7.000564003	19.8	24.4	21.44444444	1.621042189
6	18 - 20	4.1	25.68	12.16333333	7.89856316	20	24.4	22.1	1.532318505
7	02-Apr	0	25.5	14.28892857	6.451544591	19	24.4	21.36666667	2.106814341
8	20 - 22	8.58	31.2	16.12208333	8.3866776	19	24.4	22.41666667	2.041976167
9	22 - 24	3.42	40.5	22.045625	13.38733822	20	23.1	21.9875	1.096015511
10	22 -24	9.7	9.7	9.7	NA	Inf	#NAME?	NA	NA
11	24 - 26	0	35.4	15.1115	11.58275467	19	24.4	21.6375	1.930164686
12	26 - 28	0	7.86	4.043709677	2.007914327	19	23.1	21.535	1.260022974
13	28 - 30	0	16.8	8.124358974	4.614332817	19	24.4	20.37777778	1.356844
14	30 - 32	0	42	15.69333333	10.93531588	20	24.4	21.56363636	1.51213275
15	32 - 34	15	23	16.915	3.469311891	21	21	21	0
16	34 - 36	9.28	37	28.816	11.14954169	19	22.2	20.73333333	1.616580754
17	36 - 38	8.095	27.5	15.81125	7.464417753	19	23.1	20.5625	1.567470665
18	38 - 40	22.22	61	38.583	15.52632911	19	24.4	21.35555556	1.832424017
19	04-Jun	0	30.4	18.12833333	10.91150081	19.8	23.1	21.78	1.397139936
20	40 - 42	0.7	214	65.29541667	90.27464422	19	24.4	21.3	1.64721988
21	42 - 44	10.4	147	38.66487179	25.33243467	19.8	24.4	21.61428571	1.860491487
22	44 - 46	2.2	45.54	26.62136364	15.30104933	19	23.1	21.38	1.879361594
23	46 - 48	8.9	250	33.73990196	56.54395619	19	23.1	21.18	1.4366628
24	48 - 50	0	26.2	5.122142857	4.803192886	19	24.4	21.815	1.568866503
25	06-Aug	10.5	26.4	16.914	6.178132494	21	23.1	22.28333333	0.881854107
26	08-Oct	0	99.6	15.17833333	32.0460684	19	23	21.06666667	1.718914386
